Name,Traders Family
Start Date,8/1/21
End Date,12/31/23

Date,Redownloads,First-Time Downloads
3/14/22,5.0,8.0
3/15/22,6.0,14.0
3/16/22,6.0,18.0
3/17/22,5.0,10.0
3/18/22,2.0,14.0
3/19/22,9.0,7.0
3/20/22,5.0,8.0
3/21/22,5.0,12.0
3/22/22,11.0,15.0
3/23/22,11.0,9.0
3/24/22,8.0,15.0
3/25/22,11.0,18.0
3/26/22,9.0,14.0
3/27/22,5.0,21.0
3/28/22,6.0,19.0
3/29/22,7.0,18.0
3/30/22,5.0,18.0
3/31/22,10.0,15.0
4/1/22,4.0,12.0
4/2/22,3.0,8.0
4/3/22,8.0,10.0
4/4/22,4.0,13.0
4/5/22,6.0,11.0
4/6/22,5.0,21.0
4/7/22,7.0,12.0
4/8/22,5.0,10.0
4/9/22,8.0,11.0
4/10/22,6.0,18.0
4/11/22,7.0,19.0
4/12/22,6.0,14.0
4/13/22,7.0,13.0
4/14/22,4.0,8.0
4/15/22,7.0,11.0
4/16/22,6.0,5.0
4/17/22,4.0,12.0
4/18/22,4.0,10.0
4/19/22,8.0,20.0
4/20/22,7.0,12.0
4/21/22,5.0,10.0
4/22/22,6.0,12.0
4/23/22,7.0,15.0
4/24/22,12.0,7.0
4/25/22,9.0,13.0
4/26/22,5.0,12.0
4/27/22,7.0,8.0
4/28/22,9.0,14.0
4/29/22,6.0,10.0
4/30/22,6.0,6.0
5/1/22,4.0,8.0
5/2/22,3.0,2.0
5/3/22,3.0,11.0
5/4/22,3.0,12.0
5/5/22,2.0,9.0
5/6/22,5.0,7.0
5/7/22,3.0,10.0
5/8/22,3.0,8.0
5/9/22,4.0,8.0
5/10/22,8.0,12.0
5/11/22,3.0,11.0
5/12/22,5.0,12.0
5/13/22,8.0,13.0
5/14/22,10.0,12.0
5/15/22,0.0,7.0
5/16/22,4.0,6.0
5/17/22,6.0,7.0
5/18/22,8.0,9.0
5/19/22,4.0,13.0
5/20/22,4.0,14.0
5/21/22,4.0,9.0
5/22/22,1.0,8.0
5/23/22,4.0,9.0
5/24/22,8.0,8.0
5/25/22,3.0,13.0
5/26/22,4.0,9.0
5/27/22,1.0,12.0
5/28/22,8.0,9.0
5/29/22,5.0,8.0
5/30/22,7.0,12.0
5/31/22,2.0,13.0
6/1/22,6.0,8.0
6/2/22,6.0,15.0
6/3/22,1.0,12.0
6/4/22,2.0,3.0
6/5/22,4.0,7.0
6/6/22,9.0,8.0
6/7/22,3.0,9.0
6/8/22,6.0,13.0
6/9/22,2.0,9.0
6/10/22,7.0,7.0
6/11/22,10.0,22.0
6/12/22,10.0,10.0
6/13/22,8.0,12.0
6/14/22,6.0,12.0
6/15/22,7.0,15.0
6/16/22,8.0,17.0
6/17/22,6.0,12.0
6/18/22,5.0,7.0
6/19/22,11.0,21.0
6/20/22,8.0,24.0
6/21/22,9.0,22.0
6/22/22,10.0,17.0
6/23/22,15.0,23.0
6/24/22,13.0,14.0
6/25/22,3.0,26.0
6/26/22,7.0,20.0
6/27/22,6.0,18.0
6/28/22,6.0,12.0
6/29/22,9.0,18.0
6/30/22,4.0,6.0
7/1/22,8.0,17.0
7/2/22,4.0,15.0
7/3/22,8.0,19.0
7/4/22,5.0,11.0
7/5/22,6.0,25.0
7/6/22,8.0,22.0
7/7/22,8.0,18.0
7/8/22,9.0,15.0
7/9/22,10.0,15.0
7/10/22,9.0,22.0
7/11/22,11.0,17.0
7/12/22,11.0,13.0
7/13/22,19.0,17.0
7/14/22,11.0,18.0
7/15/22,14.0,15.0
7/16/22,5.0,16.0
7/17/22,5.0,10.0
7/18/22,15.0,11.0
7/19/22,9.0,9.0
7/20/22,6.0,15.0
7/21/22,10.0,19.0
7/22/22,8.0,16.0
7/23/22,8.0,10.0
7/24/22,3.0,19.0
7/25/22,5.0,12.0
7/26/22,4.0,24.0
7/27/22,6.0,14.0
7/28/22,10.0,16.0
7/29/22,11.0,18.0
7/30/22,6.0,13.0
7/31/22,4.0,11.0
8/1/22,10.0,22.0
8/2/22,10.0,9.0
8/3/22,9.0,23.0
8/4/22,5.0,16.0
8/5/22,5.0,16.0
8/6/22,8.0,20.0
8/7/22,10.0,21.0
8/8/22,11.0,21.0
8/9/22,10.0,26.0
8/10/22,11.0,21.0
8/11/22,10.0,17.0
8/12/22,8.0,12.0
8/13/22,6.0,7.0
8/14/22,3.0,16.0
8/15/22,6.0,14.0
8/16/22,7.0,31.0
8/17/22,6.0,15.0
8/18/22,15.0,17.0
8/19/22,7.0,14.0
8/20/22,9.0,14.0
8/21/22,3.0,19.0
8/22/22,8.0,13.0
8/23/22,9.0,14.0
8/24/22,4.0,18.0
8/25/22,7.0,17.0
8/26/22,1.0,15.0
8/27/22,4.0,11.0
8/28/22,10.0,16.0
8/29/22,12.0,12.0
8/30/22,5.0,16.0
8/31/22,10.0,10.0
9/1/22,11.0,12.0
9/2/22,10.0,14.0
9/3/22,6.0,13.0
9/4/22,3.0,12.0
9/5/22,8.0,15.0
9/6/22,5.0,15.0
9/7/22,12.0,17.0
9/8/22,5.0,19.0
9/9/22,7.0,12.0
9/10/22,5.0,22.0
9/11/22,7.0,18.0
9/12/22,5.0,17.0
9/13/22,9.0,15.0
9/14/22,8.0,165.0
9/15/22,13.0,146.0
9/16/22,18.0,223.0
9/17/22,16.0,115.0
9/18/22,16.0,96.0
9/19/22,18.0,179.0
9/20/22,29.0,157.0
9/21/22,20.0,133.0
9/22/22,20.0,131.0
9/23/22,14.0,109.0
9/24/22,22.0,105.0
9/25/22,14.0,123.0
9/26/22,13.0,92.0
9/27/22,15.0,100.0
9/28/22,11.0,149.0
9/29/22,15.0,149.0
9/30/22,17.0,125.0
10/1/22,13.0,101.0
10/2/22,14.0,105.0
10/3/22,19.0,90.0
10/4/22,13.0,98.0
10/5/22,16.0,96.0
10/6/22,13.0,120.0
10/7/22,12.0,107.0
10/8/22,16.0,77.0
10/9/22,11.0,118.0
10/10/22,14.0,110.0
10/11/22,15.0,103.0
10/12/22,12.0,79.0
10/13/22,19.0,102.0
10/14/22,16.0,86.0
10/15/22,12.0,86.0
10/16/22,14.0,82.0
10/17/22,23.0,73.0
10/18/22,15.0,107.0
10/19/22,17.0,103.0
10/20/22,16.0,101.0
10/21/22,7.0,97.0
10/22/22,8.0,61.0
10/23/22,5.0,102.0
10/24/22,13.0,99.0
10/25/22,10.0,89.0
10/26/22,7.0,91.0
10/27/22,18.0,67.0
10/28/22,20.0,66.0
10/29/22,7.0,61.0
10/30/22,9.0,39.0
10/31/22,12.0,69.0
11/1/22,5.0,41.0
11/2/22,22.0,52.0
11/3/22,19.0,62.0
11/4/22,22.0,59.0
11/5/22,14.0,66.0
11/6/22,8.0,65.0
11/7/22,14.0,58.0
11/8/22,17.0,67.0
11/9/22,15.0,50.0
11/10/22,15.0,56.0
11/11/22,13.0,55.0
11/12/22,12.0,42.0
11/13/22,9.0,61.0
11/14/22,16.0,56.0
11/15/22,21.0,55.0
11/16/22,10.0,70.0
11/17/22,21.0,87.0
11/18/22,9.0,76.0
11/19/22,11.0,78.0
11/20/22,8.0,73.0
11/21/22,11.0,74.0
11/22/22,13.0,90.0
11/23/22,13.0,51.0
11/24/22,12.0,42.0
11/25/22,17.0,45.0
11/26/22,9.0,42.0
11/27/22,7.0,60.0
11/28/22,19.0,57.0
11/29/22,17.0,45.0
11/30/22,20.0,47.0
12/1/22,17.0,58.0
12/2/22,20.0,63.0
12/3/22,13.0,60.0
12/4/22,9.0,45.0
12/5/22,15.0,59.0
12/6/22,9.0,64.0
12/7/22,14.0,43.0
12/8/22,11.0,52.0
12/9/22,9.0,44.0
12/10/22,7.0,35.0
12/11/22,8.0,41.0
12/12/22,15.0,38.0
12/13/22,18.0,17.0
12/14/22,8.0,25.0
12/15/22,13.0,16.0
12/16/22,8.0,24.0
12/17/22,8.0,24.0
12/18/22,13.0,29.0
12/19/22,11.0,13.0
12/20/22,12.0,25.0
12/21/22,13.0,35.0
12/22/22,12.0,21.0
12/23/22,11.0,23.0
12/24/22,6.0,16.0
12/25/22,7.0,21.0
12/26/22,8.0,15.0
12/27/22,8.0,9.0
12/28/22,6.0,14.0
12/29/22,10.0,21.0
12/30/22,8.0,20.0
12/31/22,6.0,14.0
1/1/23,13.0,33.0
1/2/23,17.0,25.0
1/3/23,14.0,34.0
1/4/23,15.0,36.0
1/5/23,12.0,29.0
1/6/23,12.0,36.0
1/7/23,9.0,30.0
1/8/23,10.0,47.0
1/9/23,16.0,25.0
1/10/23,15.0,24.0
1/11/23,20.0,26.0
1/12/23,18.0,39.0
1/13/23,9.0,29.0
1/14/23,11.0,32.0
1/15/23,13.0,25.0
1/16/23,10.0,23.0
1/17/23,13.0,31.0
1/18/23,14.0,23.0
1/19/23,13.0,27.0
1/20/23,18.0,21.0
1/21/23,10.0,15.0
1/22/23,10.0,22.0
1/23/23,18.0,28.0
1/24/23,19.0,28.0
1/25/23,11.0,20.0
1/26/23,17.0,29.0
1/27/23,15.0,22.0
1/28/23,11.0,22.0
1/29/23,10.0,28.0
1/30/23,11.0,24.0
1/31/23,8.0,18.0
2/1/23,14.0,36.0
2/2/23,16.0,27.0
2/3/23,18.0,23.0
2/4/23,8.0,24.0
2/5/23,10.0,25.0
2/6/23,13.0,30.0
2/7/23,19.0,21.0
2/8/23,12.0,25.0
2/9/23,12.0,20.0
2/10/23,10.0,17.0
2/11/23,5.0,12.0
2/12/23,6.0,18.0
2/13/23,10.0,19.0
2/14/23,18.0,23.0
2/15/23,13.0,17.0
2/16/23,8.0,14.0
2/17/23,8.0,19.0
2/18/23,6.0,17.0
2/19/23,5.0,19.0
2/20/23,7.0,21.0
2/21/23,11.0,21.0
2/22/23,8.0,15.0
2/23/23,9.0,18.0
2/24/23,10.0,31.0
2/25/23,8.0,57.0
2/26/23,10.0,25.0
2/27/23,12.0,29.0
2/28/23,5.0,21.0
3/1/23,7.0,23.0
3/2/23,18.0,23.0
3/3/23,11.0,18.0
3/4/23,18.0,26.0
3/5/23,10.0,15.0
3/6/23,14.0,17.0
3/7/23,18.0,24.0
3/8/23,17.0,21.0
3/9/23,8.0,19.0
3/10/23,16.0,24.0
3/11/23,7.0,21.0
3/12/23,11.0,17.0
3/13/23,9.0,24.0
3/14/23,8.0,23.0
